"ID","Data_paper","Data_paper_ID","Site","Subsite","Latitude","Longitude","LatLonAdjusted","Country","MAT_C","MAP_mm","Biome","Soil_N","Soil_pH","Soil_CEC","Soil_sand_pct","Soil_silt_pct","Soil_clay_pct","Soil_texture_index","Forest_age","Successional_stage","Forest_age_group","Forest_description","Disturbance_note","Dominant_species","Leaf_type","Sampling_interval","Sampling_duration","Sampling_area_ha","Sampling_frequency","Trap_area_m2","N_Traps","Leaf_flux_Mghayr","Repro_flux_Mghayr","R..R.L.","Primary_Reference","Supplementary_References","Site_soil_total_P","Site_soil_N","Site_soil_pH","Site_soil_CEC","Site_soil_sand","Site_soil_clay","Site_soil_silt","Reference_soils","site_soil_data"
337,"Jia et al., 2016",225,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Betula forest","Secondary forest, disturbance not specified","B, platyphylla","broadleaf","2001-2002",1,NA,"Quarterly",1,7,2.66,0.26,0.089041096,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
338,"Jia et al., 2016",226,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Betula forest","Secondary forest, disturbance not specified","B, platyphylla","broadleaf","2002-2003",1,NA,"Quarterly",1,7,2.58,0.19,0.068592058,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Jia et al., 2016",227,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Betula forest","Secondary forest, disturbance not specified","B, platyphylla","broadleaf","2003-2004",1,NA,"Quarterly",1,7,2.3,0.2,0.08,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"Jia et al., 2016",228,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Quercus forest","Secondary forest, disturbance not specified","Q. mongolica","broadleaf","2001-2002",1,NA,"Quarterly",1,7,2.94,0.39,0.117117117,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
341,"Jia et al., 2016",229,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Quercus forest","Secondary forest, disturbance not specified","Q. mongolica","broadleaf","2002-2003",1,NA,"Quarterly",1,7,2.87,0.45,0.135542169,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
342,"Jia et al., 2016",230,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Quercus forest","Secondary forest, disturbance not specified","Q. mongolica","broadleaf","2003-2004",1,NA,"Quarterly",1,7,2.82,0.45,0.137614679,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
343,"Jia et al., 2016",231,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,65,"secondary","mid","Juglans forest","Secondary forest, disturbance not specified","J. mandshurica","broadleaf","2001-2002",1,NA,"Quarterly",1,7,3.5,0.35,0.090909091,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
344,"Jia et al., 2016",232,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,65,"secondary","mid","Juglans forest","Secondary forest, disturbance not specified","J. mandshurica","broadleaf","2002-2003",1,NA,"Quarterly",1,7,3.54,0.32,0.082901554,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
345,"Jia et al., 2016",233,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,65,"secondary","mid","Juglans forest","Secondary forest, disturbance not specified","J. mandshurica","broadleaf","2003-2004",1,NA,"Quarterly",1,7,3.44,0.26,0.07027027,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
346,"Jia et al., 2016",234,"Heilongjiang","Maorshan Ecological Station",45.75,127.27,0,"China",3.858333349,546,"Temperate",1.848333333,6.5,24.11666667,24.46666667,43.26666667,28.86666667,-0.16537588,55,"secondary","mid","Larix forest","Secondary forest, disturbance not specified","L. gmelinii","needleleaf","2001-2002",1,NA,"Quarterly",1,7,1.78,0.22,0.11,"Jia et al., 2016","",NA,NA,NA,NA,NA,NA,NA,NA,NA
